type_de_document;titre;auteur;cote
Livre adulte;Regardez-nous danser;Slimani,  Leïla;SLI-0001
Non empruntable;A la pêche aux nouilles !;Mr Tan;TAN-0002
Bande dessinée jeunesse;Les cicatrices du monde;Sobral,  Patrick;SOB-0003
Livre adulte;Changer : méthode;Louis,  Édouard;LOU-0001
Bande dessinée jeunesse;Toi, je te zut !;Mr Tan;TAN-0002
Livre adulte;Passion simple;Ernaux,  Annie;ERN-0001
Bande dessinée jeunesse;Ultra top secret !;Didier,  Anne;DID-0001
Livre adulte;Dix âmes, pas plus;Ragnar Jónasson;RAG-0001
CD adulte;Covers;Cat Power;CAT-0001
Bande dessinée jeunesse;Un namour de sister;Maury,  William;MAU-0003
Livre adulte;Numéro deux;Foenkinos,  David;FOE-0001
Bande dessinée jeunesse;Les légendaires : Les origines. 03. Gryfenfer;Sobral,  Patrick;SOB-0000
DVD nouveautés tous publics;La Loi de Téhéran;;ANONY-0001
Livre adulte;Où vivaient les gens heureux;Maynard,  Joyce;MAY-0002
;L'espion qui aimait les livres : roman;Le Carré,  John;LEC-0002
Bande dessinée ado;Je veux que tu m'aimes !;Lyfoung,  Patricia;LYF-0002
Bande dessinée jeunesse;One Piece. 58. L'ère de Barbe blanche;Oda,  Eiichir?;ODA-0002
Livre adulte;L'inconduite;Becker,  Emma;BEC-0001
DVD tous publics;Pleasure;;ANONY-0002
Livre adulte;Successions : l'argent, le sang et les larmes;Bacqué,  Raphaëlle;BAC-0002
Bande dessinée jeunesse;Destruction massive;Horikoshi,  K?hei;HOR-0001
Nouveauté;Les fossoyeurs : révélations sur le système qui maltraite nos aînés;Castanet,  Victor;CAS-0002
Livre adulte;Le trésorier-payeur : roman;Haenel,  Yannick;HAE-0003
Nouveauté;La porte du voyage sans retour;Diop,  David;DIO-0002
Livre adulte;Pachinko : roman;Min Jin Lee;MIN-0001
Livre adulte;Le grand monde;Lemaitre,  Pierre;LEM-0001
;Les Légendaires. 15. Amour mortel;Sobral,  Patrick;SOB-0003
Bande dessinée adulte;Sacrées sorcières;Bagieu,  Pénélope;BAG-0001
Nouveauté;Le choix : roman;Ardone,  Viola;ARD-0001
Bande dessinée ado;Naruto. 38;Kishimoto,  Masashi;KIS-0001
DVD tous publics;Le Sommet des dieux;;ANONY-0003
;555;Gestern,  Hélène;GES-0001
Livre jeunesse;C'est elle qui a commencé;Cazenove,  Christophe;CAZ-0002
;Fun Home : une tragicomédie familiale;Bechdel,  Alison;BEC-0002
Nouveauté;Reine de coeur;Mizubayashi,  Akira;MIZ-0001
DVD tous publics;Une jeune fille qui va bien;;ANONY-0004
Bande dessinée jeunesse;Ex, drague et rock'n'roll !;Dubuc,  Maryse;MARYSE-0002
DVD tous publics;Chère Léa;;ANONY-0005
Livre adulte;Le nouveau;Higashino,  Keigo;HIG-0001
DVD nouveautés tous publics;Uncharted;;ANONY-0006
Bande dessinée jeunesse;Demon slayer : Kimetsu no yaiba. 11;Gotouge,  Koyoharu;GOT-0002
DVD nouveautés tous publics;L'histoire de ma femme;;ANONY-0007
Bande dessinée jeunesse;Naruto. 60;Kishimoto,  Masashi;KIS-0001
;Arpenter la nuit : roman;Mottley,  Leila;MOT-0002
Livre adulte;Toute une moitié du monde;Zeniter,  Alice;ZEN-0002
Bande dessinée jeunesse;Tomura Shigaraki : les origines;Horikoshi,  K?hei;HEI-0002
DVD > 12 ans;Benedetta;;ANONY-0008
;Le grand vide;Murawiec,  Léa;MUR-0001
Bande dessinée jeunesse;C'est parti !;Didier,  Anne;DID-0001
;Le dit des cigales;Arleston,  Christophe;ARL-0001
;Les méduses n'ont pas d'oreilles : roman;Rosenfeld,  Adèle;ROS-0002
;Les dieux sont amour;Sobral,  Patrick;SOB-0005
Livre adulte;Sorcières : la puissance invaincue des femmes;Chollet,  Mona;CHOL-0002
Bande dessinée jeunesse;One Piece. 63. Otohime et Tiger;Oda,  Eiichiro;ODA-0002
Bande dessinée jeunesse;Le serment;Oda,  Eiichiro;ODA-0001
DVD nouveautés tous publics;Black Widow;;ANONY-0009
Bande dessinée jeunesse;Le chant de l'ambre;Siegel,  Mark;SIE-0003
Bande dessinée jeunesse;Griffes et plumes;Sobral,  Patrick;SOB-0001
Nouveauté;Asphalte;Zaccagna,  Matthieu;ZAC-0001
Bande dessinée jeunesse;Mortelle Adèle.  T.10 .  Choubidoulove;;ANONY-0010
